xmsim(64): 22.03-s012: (c) Copyright 1995-2023 Cadence Design Systems, Inc.
TOOL:	xmsim(64)	22.03-s012: Started on Jul 06, 2026 at 23:26:35 KST
xmsim
    -gui
    -MESS
    tb_shift_register_sipo

xmsim: *W,NOMTDGUI: Multi-Threaded Dumping is disabled for interactive debug mode.

-------------------------------------
Relinquished control to SimVision...
xcelium> 
xcelium> database -open waves -into waves.shm -default
Created default SHM database waves
xcelium> probe -create -shm tb_shift_register_sipo.clk tb_shift_register_sipo.i_serial_in tb_shift_register_sipo.o_parallel_out tb_shift_register_sipo.rst_n
Created probe 1
xcelium> run
time=0 | reset=0 | serial_in=0 | parallel_out=00000000000000000000000000000000
time=15000 | reset=1 | serial_in=0 | parallel_out=00000000000000000000000000000000
time=30000 | reset=1 | serial_in=1 | parallel_out=00000000000000000000000000000000
time=35000 | reset=1 | serial_in=1 | parallel_out=00000000000000000000000000000001
time=45000 | reset=1 | serial_in=1 | parallel_out=00000000000000000000000000000011
time=55000 | reset=1 | serial_in=1 | parallel_out=00000000000000000000000000000111
time=65000 | reset=1 | serial_in=1 | parallel_out=00000000000000000000000000001111
time=75000 | reset=1 | serial_in=1 | parallel_out=00000000000000000000000000011111
time=85000 | reset=1 | serial_in=1 | parallel_out=00000000000000000000000000111111
time=90000 | reset=1 | serial_in=0 | parallel_out=00000000000000000000000000111111
time=95000 | reset=1 | serial_in=0 | parallel_out=00000000000000000000000001111110
time=100000 | reset=1 | serial_in=1 | parallel_out=00000000000000000000000001111110
time=105000 | reset=1 | serial_in=1 | parallel_out=00000000000000000000000011111101
time=115000 | reset=1 | serial_in=1 | parallel_out=00000000000000000000000111111011
time=120000 | reset=1 | serial_in=0 | parallel_out=00000000000000000000000111111011
time=125000 | reset=1 | serial_in=0 | parallel_out=00000000000000000000001111110110
time=130000 | reset=1 | serial_in=1 | parallel_out=00000000000000000000001111110110
time=135000 | reset=1 | serial_in=1 | parallel_out=00000000000000000000011111101101
time=145000 | reset=1 | serial_in=1 | parallel_out=00000000000000000000111111011011
time=150000 | reset=1 | serial_in=0 | parallel_out=00000000000000000000111111011011
time=155000 | reset=1 | serial_in=0 | parallel_out=00000000000000000001111110110110
time=160000 | reset=1 | serial_in=1 | parallel_out=00000000000000000001111110110110
time=165000 | reset=1 | serial_in=1 | parallel_out=00000000000000000011111101101101
time=170000 | reset=1 | serial_in=0 | parallel_out=00000000000000000011111101101101
time=175000 | reset=1 | serial_in=0 | parallel_out=00000000000000000111111011011010
time=180000 | reset=1 | serial_in=1 | parallel_out=00000000000000000111111011011010
time=185000 | reset=1 | serial_in=1 | parallel_out=00000000000000001111110110110101
time=190000 | reset=1 | serial_in=0 | parallel_out=00000000000000001111110110110101
time=195000 | reset=1 | serial_in=0 | parallel_out=00000000000000011111101101101010
time=200000 | reset=1 | serial_in=1 | parallel_out=00000000000000011111101101101010
time=205000 | reset=1 | serial_in=1 | parallel_out=00000000000000111111011011010101
time=215000 | reset=1 | serial_in=1 | parallel_out=00000000000001111110110110101011
time=220000 | reset=1 | serial_in=0 | parallel_out=00000000000001111110110110101011
time=225000 | reset=1 | serial_in=0 | parallel_out=00000000000011111101101101010110
time=230000 | reset=1 | serial_in=1 | parallel_out=00000000000011111101101101010110
time=235000 | reset=1 | serial_in=1 | parallel_out=00000000000111111011011010101101
time=240000 | reset=1 | serial_in=0 | parallel_out=00000000000111111011011010101101
time=245000 | reset=1 | serial_in=0 | parallel_out=00000000001111110110110101011010
time=255000 | reset=1 | serial_in=0 | parallel_out=00000000011111101101101010110100
time=265000 | reset=1 | serial_in=0 | parallel_out=00000000111111011011010101101000
time=270000 | reset=1 | serial_in=1 | parallel_out=00000000111111011011010101101000
time=275000 | reset=1 | serial_in=1 | parallel_out=00000001111110110110101011010001
time=280000 | reset=1 | serial_in=0 | parallel_out=00000001111110110110101011010001
time=285000 | reset=1 | serial_in=0 | parallel_out=00000011111101101101010110100010
time=290000 | reset=1 | serial_in=1 | parallel_out=00000011111101101101010110100010
time=295000 | reset=1 | serial_in=1 | parallel_out=00000111111011011010101101000101
time=305000 | reset=1 | serial_in=1 | parallel_out=00001111110110110101011010001011
time=315000 | reset=1 | serial_in=1 | parallel_out=00011111101101101010110100010111
time=325000 | reset=1 | serial_in=1 | parallel_out=00111111011011010101101000101111
time=330000 | reset=1 | serial_in=0 | parallel_out=00111111011011010101101000101111
time=335000 | reset=1 | serial_in=0 | parallel_out=01111110110110101011010001011110
time=345000 | reset=1 | serial_in=0 | parallel_out=11111101101101010110100010111100
time=355000 | reset=1 | serial_in=0 | parallel_out=11111011011010101101000101111000
time=365000 | reset=1 | serial_in=0 | parallel_out=11110110110101011010001011110000
time=370000 | reset=1 | serial_in=1 | parallel_out=11110110110101011010001011110000
time=375000 | reset=1 | serial_in=1 | parallel_out=11101101101010110100010111100001
time=380000 | reset=1 | serial_in=0 | parallel_out=11101101101010110100010111100001
time=385000 | reset=1 | serial_in=0 | parallel_out=11011011010101101000101111000010
time=390000 | reset=1 | serial_in=1 | parallel_out=11011011010101101000101111000010
time=395000 | reset=1 | serial_in=1 | parallel_out=10110110101011010001011110000101
time=405000 | reset=1 | serial_in=1 | parallel_out=01101101010110100010111100001011
time=415000 | reset=1 | serial_in=1 | parallel_out=11011010101101000101111000010111
time=425000 | reset=1 | serial_in=1 | parallel_out=10110101011010001011110000101111
time=435000 | reset=1 | serial_in=1 | parallel_out=01101010110100010111100001011111
time=440000 | reset=1 | serial_in=0 | parallel_out=01101010110100010111100001011111
time=445000 | reset=1 | serial_in=0 | parallel_out=11010101101000101111000010111110
time=455000 | reset=1 | serial_in=0 | parallel_out=10101011010001011110000101111100
time=460000 | reset=1 | serial_in=1 | parallel_out=10101011010001011110000101111100
time=465000 | reset=1 | serial_in=1 | parallel_out=01010110100010111100001011111001
time=475000 | reset=1 | serial_in=1 | parallel_out=10101101000101111000010111110011
time=485000 | reset=1 | serial_in=1 | parallel_out=01011010001011110000101111100111
time=490000 | reset=1 | serial_in=0 | parallel_out=01011010001011110000101111100111
time=495000 | reset=1 | serial_in=0 | parallel_out=10110100010111100001011111001110
time=505000 | reset=1 | serial_in=0 | parallel_out=01101000101111000010111110011100
